Index,Key,Value
0,AL,Alabama
1,AK,Alaska
2,AZ,Arizona
3,AR,Arkansas
4,AS,American Samoa
5,CA,California
6,CO,Colorado
7,CT,Connecticut
8,DE,Delaware
9,FL,Florida
10,GA,Georgia
11,HI,Hawaii
12,ID,Idaho
13,IL,Illinois
14,IN,Indiana
15,IA,Iowa
16,KS,Kansas
17,KY,Kentucky
18,LA,Louisiana
19,ME,Maine
20,MD,Maryland
21,MA,Massachusetts
22,MI,Michigan
23,MN,Minnesota
24,MS,Mississippi
25,MO,Missouri
26,MT,Montana
27,MP,Northern Mariana Islands
28,NE,Nebraska
29,NV,Nevada
30,PR,Puerto Rico
31,NH,New Hampshire
32,NJ,New Jersey
33,NM,New Mexico
34,NY,New York
35,NC,North Carolina
36,ND,North Dakota
37,OH,Ohio
38,OK,Oklahoma
39,OR,Oregon
40,PA,Pennsylvania
41,RI,Rhode Island
42,SC,South Carolina
43,SD,South Dakota
44,TN,Tennessee
45,DC,District of Columbia
46,TX,Texas
47,GU,Guam
48,UT,Utah
49,VI,U.S. Virgin Islands
50,VT,Vermont
51,VA,Virginia
52,WA,Washington
53,WV,West Virginia
54,WI,Wisconsin
55,WY,Wyoming